,GHI
1696,45
1709,36
1710,210
1711,251
1712,570
1713,694
1714,760
1715,763
1716,493
1717,586
1718,421
1719,228
1720,47
1733,35
1734,202
1735,390
1736,557
1737,682
1738,428
1739,472
1740,512
1741,576
1742,413
1743,223
1744,46
1757,4
1758,15
1759,42
1760,549
1761,431
1762,461
1763,598
1764,670
1765,559
1766,401
1767,219
1768,47
1781,40
1782,212
1783,253
1784,401
1785,693
1786,762
1787,661
1788,708
1789,590
1790,426
1791,235
1792,54
1805,49
1806,229
1807,421
1808,590
1809,715
1810,780
1811,781
1812,720
1813,601
1814,436
1815,243
1816,58
1829,54
1830,235
1831,428
1832,503
1833,716
1834,663
1835,626
1836,587
1837,444
1838,359
1839,144
1840,47
1853,27
1854,126
1855,313
1856,463
1857,592
1858,567
1859,629
1860,563
1861,488
1862,348
1863,171
1864,43
1877,58
1878,119
1879,344
1880,474
1881,564
1882,611
1883,627
1884,583
1885,497
1886,355
1887,130
1888,30
1901,63
1902,242
1903,431
1904,593
1905,714
1906,566
1907,561
1908,521
1909,409
1910,435
1911,249
1912,68
1925,73
1926,259
1927,447
1928,607
1929,721
1930,781
1931,780
1932,715
1933,598
1934,436
1935,248
1936,67
1949,41
1950,167
1951,439
1952,429
1953,718
1954,778
1955,777
1956,718
1957,600
1958,290
1959,252
1960,71
1973,6
1974,18
1975,54
1976,234
1977,485
1978,628
1979,615
1980,435
1981,474
1982,282
1983,110
1984,32
1997,83
1998,270
1999,462
2000,626
2001,743
2002,806
2003,806
2004,741
2005,621
2006,454
2007,262
2008,76
2021,48
2022,190
2023,366
2024,493
2025,585
2026,623
2027,690
2028,567
2029,604
2030,449
2031,263
2032,79
2045,6
2046,13
2047,36
2048,52
2049,287
2050,363
2051,491
2052,223
2053,231
2054,107
2055,65
2056,13
2069,99
2070,292
2071,486
2072,649
2073,766
2074,825
2075,823
2076,758
2077,638
2078,475
2079,283
2080,91
2093,107
2094,303
2095,497
2096,659
2097,775
2098,834
2099,831
2100,766
2101,645
2102,480
2103,286
2104,92
2117,108
2118,131
2119,494
2120,655
2121,771
2122,832
2123,832
2124,766
2125,646
2126,479
2127,285
2128,92
2141,106
2142,295
2143,485
2144,648
2145,762
2146,824
2147,822
2148,758
2149,640
2150,476
2151,286
2152,96
2165,113
2166,303
2167,491
2168,651
2169,766
2170,821
2171,817
2172,752
2173,629
2174,464
2175,275
2176,91
2189,64
2190,234
2191,385
2192,445
2193,535
2194,507
2195,556
2196,601
2197,478
2198,342
2199,159
2200,28
2213,68
2214,167
2215,333
2216,536
2217,55
2218,183
2219,160
2220,308
2221,425
2222,243
2223,122
2224,36
2237,53
2238,293
2239,347
2240,636
2241,730
2242,784
2243,779
2244,605
2245,561
2246,399
2247,207
2248,49
2261,124
2262,196
2263,252
2264,435
2265,564
2266,665
2267,710
2268,748
2269,629
2270,468
2271,283
2272,99
2285,128
2286,315
2287,502
2288,659
2289,776
2290,737
2291,820
2292,755
2293,630
2294,420
2295,130
2296,41
2309,10
2310,60
2311,383
2312,512
2313,619
2314,649
2315,585
2316,403
2317,527
2318,327
2319,137
2320,119
2333,152
2334,351
2335,542
2336,706
2337,822
2338,881
2339,877
2340,810
2341,691
2342,524
2343,327
2344,126
2357,160
2358,360
2359,552
2360,712
2361,827
2362,879
2363,873
2364,805
2365,682
2366,515
2367,320
2368,125
2380,11
2381,162
2382,362
2383,552
2384,711
2385,825
2386,880
2387,874
2388,805
2389,683
2390,517
